"cohort","cnt","max_diff","0","30","60","90","180","300"
"2021-07",614,331.0,938,1666,2236,2819,4519,6538
"2021-08",686,310.0,940,1295,1666,2026,3033,4110
"2021-09",627,281.0,1045,1555,1997,2336,3327,4074
"2021-10",563,249.0,1092,1573,1966,2342,3194,3565
"2021-11",498,217.0,1123,1642,1920,2244,2962,3115
"2021-12",509,188.0,1077,1404,1647,1884,2344,2355
"2022-01",458,155.0,1075,1501,1899,2196,2571,
"2022-02",402,121.0,1153,1607,1872,2112,2265,
"2022-03",432,94.0,1363,1735,1975,2107,2115,
"2022-04",543,68.0,1126,1539,1840,1848,,
"2022-05",402,36.0,1195,1470,1480,,,
"2022-06",192,8.0,973,1025,,,,
